x,y
-0.9766,-0.3956
0.9978,0.722
0.9602,0.734
0.973,0.7032
0.8882,0.6604
0.881,0.6416
0.9018,0.6228
0.8816,0.5568
0.891,0.5192
0.861,0.1484
0.8624,0.4904
0.8484,0.7112
0.8728,0.812
0.8366,0.7816
0.8306,0.6392
0.8148,0.4516
0.8076,0.5068
0.824,0.4284
0.7856,-0.562
0.798,0.3308
0.768,0.292
0.781,0.9448
0.7464,0.8292
0.7432,0.7416
0.7278,0.7084
0.7284,0.7352
0.7226,0.496
0.7532,0.416
0.7554,0.31
0.7124,-0.6184
0.696,-0.038
0.7072,0.1284
0.7116,0.51
0.707,0.536
0.6968,0.5768
0.6832,0.6768
0.6958,0.75
0.7112,0.7236
0.6992,0.6836
0.696,0.7148
0.6934,0.7912
0.6818,0.8608
0.6836,0.8788
0.6954,0.9668
0.674,0.8268
0.6474,0.7748
0.6768,0.6896
0.6686,0.6732
0.6544,0.5936
0.6694,0.5036
0.6422,0.3788
0.6566,0.2768
0.6536,-0.1712
0.639,-0.0704
0.6284,0.1528
0.6306,0.8344
0.62,0.7648
0.6254,0.9096
0.619,0.8932
0.6018,0.9632
0.5946,0.924
0.5604,0.7584
0.5942,0.5752
0.5606,0.072
0.5818,-0.2616
0.5568,0.4396
0.5164,0.3844
0.488,0.2196
0.4792,0.206
0.4118,0.1028
0.367,0.0568
0.3242,-0.2276
0.2504,0.1504
0.2474,-0.9952
0.2178,0.3812
0.216,0.6352
0.1654,0.6444
0.1936,0.192
0.13,-0.942
0.1562,0.4988
0.1602,0.6064
0.0898,0.6036
0.0706,-0.6232
0.072,0.456
0.0606,0.5656
0.062,0.528
0.0774,0.644
0.0184,0.7728
0.0296,0.5992
0.0374,0.6084
0.0014,0.574
0.0326,0.4432
-0.0012,0.4168
-0.032,0.5036
-0.032,0.4856
-0.011,0.5056
-0.022,0.568
-0.024,0.5224
-0.0108,0.548
-0.0582,0.812
-0.0596,0.754
-0.0782,0.682
-0.0478,0.6644
-0.063,0.526
-0.047,0.5072
-0.0666,0.452
-0.117,0.4768
-0.0994,0.5216
-0.226,0.9612
-0.2458,0.716
-0.3062,0.4724
-0.3588,-0.8412
-0.326,-0.8368
-0.343,0.498
-0.3376,0.6404
-0.3568,0.7428
-0.381,0.958
-0.3748,0.918
-0.3732,0.418
-0.3962,-0.462
-0.3862,-0.684
-0.3652,-0.8576
-0.4108,0.5084
-0.4116,0.7492
-0.4682,0.83
-0.4542,0.7112
-0.4712,0.452
-0.5076,0.5556
-0.4854,0.5916
-0.5188,0.67
-0.556,0.7552
-0.5672,-0.2384
-0.5696,0.6376
-0.6376,0.8308
-0.6034,0.734
-0.6028,0.5236
-0.6214,0.302
-0.607,-0.4308
-0.6688,-0.8696
-0.6664,-0.4744
-0.6492,0.036
-0.6598,0.6808
-0.6428,0.7748
-0.6812,0.9888
-0.6878,0.9412
-0.6948,0.8788
-0.7156,0.4196
-0.709,0.2036
-0.7118,0.1148
-0.6896,-0.0212
-0.7142,-0.0208
-0.7046,-0.6672
-0.7172,-0.706
-0.7164,-0.9888
-0.7606,-0.7232
-0.7272,-0.628
-0.7416,-0.5996
-0.7302,0.1124
-0.7514,0.228
-0.7482,0.4284
-0.7282,0.7228
-0.7304,0.9364
-0.7928,0.9332
-0.7692,0.3876
-0.7718,0.2684
-0.7614,0.1828
-0.8356,-0.9836
-0.8066,0.2412
-0.8064,0.634
-0.8664,0.7968
-0.848,0.7652
-0.8484,0.6548
-0.871,0.1252
-0.9148,0.6168
-0.9556,0.7996
-0.9378,0.6984
-0.9506,-0.126
-0.9206,-0.2012
-0.9558,-0.3968
-0.9682,-0.5252
-0.9638,0.1404
-0.963,0.5984
-0.978,0.682
0.923,0.4832
0.9354,0.5092
0.9222,0.5612
0.9308,0.6528
0.9354,0.6424
0.935,0.6056
0.936,0.752
0.9416,0.6952
0.9454,0.7204
0.9414,0.7588
0.9578,0.7464
0.9592,0.72
0.9456,0.7604
0.9502,0.7624
0.9456,0.8412
0.9444,0.8808
